Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Exp_Prob                 
0                        0.02472754524813758      50001                    0.2                      4993.1                   10                       1.1696109771728516       176.53005981445312       283                      0.037309274077415466     0.9549991                
50000                    0.08898007942570581      100001                   0.3                      1576.3                   10                       1.4135335683822632       187.5074462890625        266                      0.007860862649977207     0.9099991                
100000                   0.16128170139259762      150001                   1.2                      4993.3                   10                       1.2000008821487427       178.42503356933594       280                      0.007531194947659969     0.8649990999999999       
150000                   0.22221137788560655      200001                   0.4                      128.5                    10                       1.3643124103546143       185.7509307861328        269                      0.007524370215833187     0.8199991                
200000                   0.2944825361834632       250001                   0.4                      4990.0                   10                       1.385767936706543        186.98878479003906       267                      0.0028598206117749214    0.7749991                
250000                   0.3565917393234041       300001                   0.7                      618.5                    10                       1.2904407978057861       183.61402893066406       272                      0.0027617448940873146    0.7299991                
300000                   0.4177755241923862       350001                   2.3                      204.2                    10                       1.302919864654541        182.31390380859375       274                      0.007721257861703634     0.6849991                
350000                   0.4834075609842936       400001                   1.2                      2085.0                   10                       1.4456928968429565       186.89129638671875       267                      0.004965531639754772     0.6399990999999999       
400000                   0.5542410623364978       450001                   0.3                      4510.0                   10                       1.501931071281433        193.01927185058594       259                      0.0026718652807176113    0.5949991                
450000                   0.6267669193612204       500001                   0.7                      4978.0                   10                       1.7815124988555908       209.26885986328125       238                      0.00398054625838995      0.5499991                
500000                   0.6977655690246158       550001                   1.1                      4523.8                   10                       2.932642698287964        258.2538757324219        193                      0.0035486514680087566    0.5049991                
550000                   0.7592675071292453       600001                   9.0                      469.4                    10                       4.214723110198975        305.15338134765625       163                      0.0069486768916249275    0.4599991                
600000                   0.8208821352985171       650001                   6.3                      377.7                    10                       4.857141971588135        323.98712158203125       154                      0.004925965331494808     0.41499909999999995      
650000                   0.8824181617630853       700001                   7.1                      347.5                    10                       5.534723281860352        344.4095764160156        144                      0.004723866004496813     0.3699991                
700000                   0.9445994262562858       750001                   9.4                      476.8                    10                       6.465649604797363        380.9312744140625        131                      0.0052900537848472595    0.3249991                
750000                   1.0067905470397738       800001                   9.8                      475.1                    10                       6.473283290863037        380.0533447265625        131                      0.004649876616895199     0.27999910000000006      
800000                   1.0690618328253427       850001                   9.6                      478.7                    10                       7.854699611663818        426.5128173828125        117                      0.005620247684419155     0.23499910000000002      
