Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Exp_Prob                 
0                        0.01360151900185479      50001                    -20.1                    726.5                    10                       -20.20754623413086       934.88671875             53                       0.06932800263166428      0.9549991                
50000                    0.07592345277468364      100001                   -20.1                    757.8                    10                       -20.148155212402344      919.1851196289062        54                       0.009212156757712364     0.9099991                
100000                   0.1361248477962282       150001                   -20.0                    812.1                    10                       -20.192306518554688      950.8270263671875        52                       0.002637836616486311     0.8649990999999999       
150000                   0.19585559368133545      200001                   -21.0                    909.4                    10                       -20.283018112182617      942.6792602539062        53                       0.003994091413915157     0.8199991                
200000                   0.25502724554803635      250001                   -19.5                    759.7                    10                       -20.28845977783203       944.1923217773438        52                       0.0033740720245987177    0.7749991                
250000                   0.3146415248182085       300001                   -20.3                    882.9                    10                       -19.980392456054688      975.6272583007812        51                       0.00785026978701353      0.7299991                
300000                   0.37461799528863693      350001                   -18.6                    878.2                    10                       -19.833332061767578      1024.7291259765625       48                       0.007491976488381624     0.6849991                
350000                   0.4346497419145372       400001                   -18.5                    1076.0                   10                       -19.695650100708008      1068.7608642578125       46                       0.00503510469570756      0.6399990999999999       
400000                   0.4953023879395591       450001                   -17.3                    1323.7                   10                       -19.627906799316406      1155.53466796875         43                       0.006708474364131689     0.5949991                
450000                   0.5673301976919174       500001                   -15.0                    6719.3                   10                       -19.20513153076172       1270.820556640625        39                       0.005235734395682812     0.5499991                
500000                   0.6271325527297126       550001                   -18.4                    829.9                    10                       -18.648643493652344      1312.9185791015625       37                       0.009126247838139534     0.5049991                
550000                   0.6878160348203447       600001                   -17.4                    1277.8                   10                       -18.485708236694336      1419.9141845703125       35                       0.012137530371546745     0.4599991                
600000                   0.7492175751262241       650001                   -18.8                    1703.5                   10                       -17.93939208984375       1510.7572021484375       33                       0.006268778350204229     0.41499909999999995      
650000                   0.8116912758350372       700001                   -15.8                    1997.8                   10                       -18.303035736083984      1500.363525390625        33                       0.00744781456887722      0.3699991                
700000                   0.8732786484559377       750001                   -16.8                    1669.6                   10                       -17.333332061767578      1802.5926513671875       27                       0.006707312539219856     0.3249991                
750000                   0.9363648876216677       800001                   -10.8                    2572.2                   10                       -16.923072814941406      1888.999755859375        26                       0.011208886280655861     0.27999910000000006      
800000                   0.9994572094413969       850001                   -13.4                    2403.4                   10                       -16.269227981567383      1905.615478515625        26                       0.0048506553284823895    0.23499910000000002      
850000                   1.0636896783775753       900001                   -12.4                    2990.9                   10                       -16.64000129699707       1991.8001708984375       25                       0.003849969943985343     0.18999909999999998      
900000                   1.1281637111637328       950001                   -14.0                    3041.5                   10                       -15.043478012084961      2168.826171875           23                       0.0062845628708601       0.14499910000000002      
950000                   1.1919938423236212       1000001                  -11.6                    2650.8                   10                       -12.71428394317627       2346.38134765625         21                       0.01067253015935421      0.1                      
1000000                  1.2656976443529129       1050001                  -7.4                     7659.9                   10                       -12.900001525878906      2488.849853515625        20                       0.004591889679431915     0.1                      
1050000                  1.3295774247248968       1100001                  2.2                      2711.8                   10                       -8.684210777282715       2607.4736328125          19                       0.005164363421499729     0.1                      
1100000                  1.3914067512088353       1150001                  17.6                     1786.4                   10                       -9.055554389953613       2640.722412109375        18                       0.006632726639509201     0.1                      
1150000                  1.4548180074161954       1200001                  10.4                     2593.7                   10                       -6.941176891326904       2887.235107421875        17                       0.006749832071363926     0.1                      
1200000                  1.5167299389839173       1250001                  17.3                     1914.2                   10                       -4.125                   3045.12548828125         16                       0.006310566328465939     0.1                      
1250000                  1.578414601551162        1300001                  19.1                     1713.2                   10                       -4.0625                  3055.0625                16                       0.005142629146575928     0.1                      
1300000                  1.6400436494085524       1350001                  19.5                     1833.9                   10                       2.75                     3093.125244140625        16                       0.008069977164268494     0.1                      
1350000                  1.7018729597992368       1400001                  18.9                     1766.9                   10                       -2.4705886840820312      2902.470947265625        17                       0.004453545436263084     0.1                      
1400000                  1.7633487846453983       1450001                  18.9                     1719.1                   10                       3.3529410362243652       2885.882568359375        17                       0.004274290055036545     0.1                      
1450000                  1.8249096226029926       1500001                  19.4                     1708.2                   10                       -1.1875001192092896      3056.4375                16                       0.004391559865325689     0.1                      
1500000                  1.8874597922298644       1550001                  14.3                     2251.9                   10                       4.647059440612793        2888.588623046875        17                       0.0055075641721487045    0.1                      
1550000                  1.9493437761730619       1600001                  16.6                     1976.9                   10                       1.6875                   3071.9375                16                       0.003239691024646163     0.1                      
1600000                  2.01136346300443         1650001                  14.5                     1935.3                   10                       6.5333333015441895       3121.3330078125          15                       0.005009403917938471     0.1                      
1650000                  2.0799930785099665       1700001                  6.8                      5087.6                   10                       2.75                     3049.687744140625        16                       0.0045413365587592125    0.1                      
1700000                  2.141552940805753        1750001                  18.5                     1619.7                   10                       6.866667747497559        3186.199951171875        15                       0.0072918664664030075    0.1                      
1750000                  2.2029468373457592       1800001                  19.7                     1590.0                   10                       7.941176414489746        2847.294189453125        17                       0.0062593137845396996    0.1                      
1800000                  2.264988942609893        1850001                  20.0                     1750.6                   10                       7.117647647857666        2928.176513671875        17                       0.007227642461657524     0.1                      
1850000                  2.3291013177898194       1900001                  7.8                      2961.7                   10                       5.125                    3016.0625                16                       0.0025033438578248024    0.1                      
1900000                  2.391447575092316        1950001                  15.6                     1951.1                   10                       3.866666555404663        3139.53369140625         15                       0.0029022665694355965    0.1                      
